filename,width,height,class,xmin,ymin,xmax,ymax
2733.jpg,512,512,glioma,330,97,418,232
2729.jpg,512,512,glioma,274,154,376,281
2735.jpg,512,512,glioma,309,147,430,239
2736.jpg,512,512,glioma,294,145,425,252
2738.jpg,512,512,glioma,191,212,383,329
2737.jpg,512,512,glioma,365,147,398,207
2739.jpg,512,512,glioma,189,240,330,328
274.jpg,512,512,meningioma,140,130,196,197
2745.jpg,512,512,glioma,118,48,297,179
2744.jpg,512,512,glioma,169,69,240,173
2743.jpg,512,512,glioma,167,78,237,170
2746.jpg,512,512,glioma,150,68,272,202
2740.jpg,512,512,glioma,194,234,332,322
2747.jpg,512,512,glioma,147,68,214,140
2748.jpg,512,512,glioma,259,81,317,120
2749.jpg,512,512,glioma,272,81,323,135
2757.jpg,512,512,glioma,315,252,337,274
2756.jpg,512,512,glioma,286,281,315,301
2751.jpg,512,512,glioma,337,167,376,192
2755.jpg,512,512,glioma,274,274,318,307
2752.jpg,512,512,glioma,338,167,382,189
2754.jpg,512,512,glioma,274,268,321,305
2750.jpg,512,512,glioma,338,167,370,201
2753.jpg,512,512,glioma,290,272,315,297
2758.jpg,512,512,glioma,273,223,452,279
2759.jpg,512,512,glioma,235,191,460,316
2766.jpg,512,512,glioma,165,182,313,289
2761.jpg,512,512,glioma,221,165,466,341
2764.jpg,512,512,glioma,136,153,345,297
2765.jpg,512,512,glioma,154,172,322,358
2762.jpg,512,512,glioma,222,152,469,357
2760.jpg,512,512,glioma,250,191,364,344
276.jpg,512,512,meningioma,318,151,396,256
2763.jpg,512,512,glioma,135,142,470,359
2767.jpg,512,512,glioma,156,173,355,304
2769.jpg,512,512,glioma,235,217,337,271
2771.jpg,512,512,glioma,285,182,389,292
2773.jpg,512,512,glioma,234,203,365,299
2774.jpg,512,512,glioma,288,167,368,219
2772.jpg,512,512,glioma,257,200,384,285
2775.jpg,512,512,glioma,315,226,402,294
2770.jpg,512,512,glioma,286,239,348,282
277.jpg,512,512,meningioma,315,145,392,252
2776.jpg,512,512,glioma,310,218,404,293
2779.jpg,512,512,glioma,311,198,400,336
2783.jpg,512,512,glioma,272,230,382,321
2778.jpg,512,512,glioma,307,201,398,302
2780.jpg,512,512,glioma,282,252,325,307
2782.jpg,512,512,glioma,278,226,341,302
2777.jpg,512,512,glioma,305,206,403,298
2784.jpg,512,512,glioma,264,229,340,322
2786.jpg,512,512,glioma,264,228,370,338
2781.jpg,512,512,glioma,272,242,332,305
2787.jpg,512,512,glioma,200,169,316,264
2789.jpg,512,512,glioma,185,155,341,294
2788.jpg,512,512,glioma,250,214,313,300
2792.jpg,512,512,glioma,207,209,290,299
2791.jpg,512,512,glioma,206,148,331,272
2794.jpg,512,512,glioma,222,225,296,273
279.jpg,512,512,meningioma,318,164,387,244
2795.jpg,512,512,glioma,163,165,352,302
2793.jpg,512,512,glioma,212,211,286,291
2790.jpg,512,512,glioma,191,140,333,297
2796.jpg,512,512,glioma,156,157,372,298
2799.jpg,512,512,glioma,206,204,351,311
2797.jpg,512,512,glioma,155,158,374,284
2807.jpg,512,512,glioma,264,127,325,183
2808.jpg,512,512,glioma,269,130,313,180
281.jpg,512,512,meningioma,312,303,356,350
2802.jpg,512,512,glioma,296,157,401,263
2810.jpg,512,512,glioma,162,165,231,224
2800.jpg,512,512,glioma,302,149,396,257
2805.jpg,512,512,glioma,231,94,323,184
2801.jpg,512,512,glioma,305,148,408,250
2803.jpg,512,512,glioma,281,180,381,256
2806.jpg,512,512,glioma,222,87,351,184
280.jpg,512,512,meningioma,322,170,378,238
2812.jpg,512,512,glioma,126,157,263,250
2811.jpg,512,512,glioma,147,167,247,231
2814.jpg,512,512,glioma,112,174,333,259
2821.jpg,512,512,glioma,218,106,365,216
2818.jpg,512,512,glioma,335,167,388,207
2817.jpg,512,512,glioma,317,148,397,217
282.jpg,512,512,meningioma,314,305,354,350
2819.jpg,512,512,glioma,332,165,387,214
2820.jpg,512,512,glioma,338,175,384,208
2816.jpg,512,512,glioma,221,169,302,235
2815.jpg,512,512,glioma,146,159,355,254
2822.jpg,512,512,glioma,248,156,293,202
2823.jpg,512,512,glioma,338,180,354,205
2830.jpg,512,512,glioma,338,181,374,210
2824.jpg,512,512,glioma,337,182,355,206
2826.jpg,512,512,glioma,333,178,386,227
2829.jpg,512,512,glioma,332,172,375,217
2828.jpg,512,512,glioma,331,172,377,214
2827.jpg,512,512,glioma,331,172,379,218
2825.jpg,512,512,glioma,338,177,390,222
283.jpg,512,512,meningioma,301,65,334,92
2831.jpg,512,512,glioma,223,171,307,248
2832.jpg,512,512,glioma,237,203,289,240
2833.jpg,512,512,glioma,219,181,281,254
2834.jpg,512,512,glioma,216,184,280,246
2839.jpg,512,512,glioma,167,177,272,282
2838.jpg,512,512,glioma,162,180,251,274
2837.jpg,512,512,glioma,171,180,222,265
2836.jpg,512,512,glioma,312,199,332,225
284.jpg,512,512,meningioma,302,64,352,105
2835.jpg,512,512,glioma,237,208,276,238
2840.jpg,512,512,glioma,235,191,335,339
2841.jpg,512,512,glioma,214,165,352,293
2842.jpg,512,512,glioma,242,176,348,278
2843.jpg,512,512,glioma,239,180,347,264
2850.jpg,512,512,glioma,158,106,281,210
2851.jpg,512,512,glioma,159,98,283,207
2846.jpg,512,512,glioma,205,165,252,222
285.jpg,512,512,meningioma,321,75,353,106
2847.jpg,512,512,glioma,169,117,269,223
2848.jpg,512,512,glioma,154,90,280,217
2845.jpg,512,512,glioma,235,212,312,254
2849.jpg,512,512,glioma,147,93,282,211
2844.jpg,512,512,glioma,231,208,332,260
2852.jpg,512,512,glioma,179,108,267,193
2853.jpg,512,512,glioma,188,124,270,190
2854.jpg,512,512,glioma,272,283,317,328
2861.jpg,512,512,glioma,194,122,264,211
2860.jpg,512,512,glioma,167,76,240,132
2862.jpg,512,512,glioma,189,123,274,217
2855.jpg,512,512,glioma,270,272,314,331
2857.jpg,512,512,glioma,273,275,302,307
2859.jpg,512,512,glioma,171,71,236,140
2858.jpg,512,512,glioma,172,71,236,130
2856.jpg,512,512,glioma,268,271,311,313
286.jpg,512,512,meningioma,243,78,306,126
