filename,width,height,class,xmin,ymin,xmax,ymax
1015.jpg,512,512,pituitary tumour,218,199,275,244
1086.jpg,512,512,pituitary tumour,216,243,280,262
1089.jpg,512,512,pituitary tumour,210,233,293,291
1081.jpg,512,512,pituitary tumour,216,242,293,330
1065.jpg,512,512,pituitary tumour,235,220,285,271
1060.jpg,512,512,pituitary tumour,225,242,294,308
1057.jpg,512,512,pituitary tumour,226,252,284,328
1051.jpg,512,512,pituitary tumour,199,220,288,316
1110.jpg,512,512,pituitary tumour,242,255,286,308
1120.jpg,512,512,pituitary tumour,241,195,286,255
1119.jpg,512,512,pituitary tumour,240,199,286,255
1122.jpg,512,512,pituitary tumour,236,234,288,295
1136.jpg,512,512,pituitary tumour,230,219,282,267
114.jpg,512,512,meningioma,253,167,303,216
1165.jpg,512,512,pituitary tumour,226,280,315,366
1125.jpg,512,512,pituitary tumour,219,230,280,289
1144.jpg,512,512,pituitary tumour,220,265,274,311
117.jpg,512,512,meningioma,144,142,259,312
1186.jpg,512,512,pituitary tumour,170,244,241,339
1195.jpg,512,512,pituitary tumour,191,260,233,302
1196.jpg,512,512,pituitary tumour,188,257,232,303
124.jpg,512,512,meningioma,186,182,272,289
1226.jpg,512,512,pituitary tumour,211,261,247,283
1258.jpg,512,512,pituitary tumour,193,270,231,309
1204.jpg,512,512,pituitary tumour,98,141,117,158
12.jpg,512,512,meningioma,230,239,325,343
1197.jpg,512,512,pituitary tumour,186,258,235,298
1244.jpg,512,512,pituitary tumour,203,224,242,288
1262.jpg,512,512,pituitary tumour,172,277,211,318
1265.jpg,512,512,pituitary tumour,173,282,215,314
1268.jpg,512,512,pituitary tumour,200,320,229,347
1285.jpg,512,512,pituitary tumour,240,209,266,235
128.jpg,512,512,meningioma,297,131,383,236
130.jpg,512,512,meningioma,297,135,389,257
1282.jpg,512,512,pituitary tumour,164,291,237,363
1279.jpg,512,512,pituitary tumour,165,275,238,364
1277.jpg,512,512,pituitary tumour,181,263,255,332
1269.jpg,512,512,pituitary tumour,196,321,231,347
1281.jpg,512,512,pituitary tumour,152,279,238,369
1316.jpg,512,512,pituitary tumour,231,182,271,225
1321.jpg,512,512,pituitary tumour,237,189,271,225
1378.jpg,512,512,pituitary tumour,244,216,285,243
136.jpg,512,512,meningioma,205,87,280,178
1342.jpg,512,512,pituitary tumour,213,163,282,225
1322.jpg,512,512,pituitary tumour,239,190,268,222
133.jpg,512,512,meningioma,196,190,272,288
1350.jpg,512,512,pituitary tumour,247,215,274,241
1374.jpg,512,512,pituitary tumour,233,179,273,211
1356.jpg,512,512,pituitary tumour,221,157,304,253
138.jpg,512,512,meningioma,204,110,273,168
1385.jpg,512,512,pituitary tumour,217,193,254,231
1386.jpg,512,512,pituitary tumour,238,157,277,194
1388.jpg,512,512,pituitary tumour,231,146,272,210
1414.jpg,512,512,pituitary tumour,232,195,278,231
1395.jpg,512,512,pituitary tumour,222,198,273,240
1416.jpg,512,512,pituitary tumour,233,194,275,228
1401.jpg,512,512,pituitary tumour,225,196,282,245
1418.jpg,512,512,pituitary tumour,229,193,270,233
1393.jpg,512,512,pituitary tumour,222,147,256,199
1397.jpg,512,512,pituitary tumour,201,186,283,253
1424.jpg,512,512,pituitary tumour,221,181,271,223
1425.jpg,512,512,pituitary tumour,223,183,277,225
143.jpg,512,512,meningioma,249,228,295,275
1491.jpg,512,512,pituitary tumour,235,273,265,305
1442.jpg,512,512,pituitary tumour,221,193,277,240
1469.jpg,512,512,pituitary tumour,229,271,270,298
1472.jpg,512,512,pituitary tumour,229,234,267,260
1463.jpg,512,512,pituitary tumour,195,236,278,296
1439.jpg,512,512,pituitary tumour,220,169,289,243
1449.jpg,512,512,pituitary tumour,231,187,276,234
146.jpg,512,512,meningioma,262,137,400,290
1507.jpg,512,512,pituitary tumour,228,271,297,344
1514.jpg,512,512,pituitary tumour,233,227,277,266
1520.jpg,512,512,pituitary tumour,235,286,271,322
1515.jpg,512,512,pituitary tumour,230,279,269,322
1587.jpg,512,512,pituitary tumour,211,256,292,367
158.jpg,512,512,meningioma,188,261,292,395
1572.jpg,512,512,pituitary tumour,231,246,266,266
1522.jpg,512,512,pituitary tumour,232,245,277,304
1565.jpg,512,512,pituitary tumour,242,315,280,333
1550.jpg,512,512,pituitary tumour,225,234,287,303
1546.jpg,512,512,pituitary tumour,225,227,295,305
1597.jpg,512,512,pituitary tumour,227,290,279,323
1599.jpg,512,512,pituitary tumour,230,293,283,322
1606.jpg,512,512,pituitary tumour,251,232,291,257
1661.jpg,512,512,pituitary tumour,211,305,243,335
162.jpg,512,512,meningioma,248,256,305,317
1608.jpg,512,512,pituitary tumour,225,229,328,308
1612.jpg,512,512,pituitary tumour,222,252,279,323
1611.jpg,512,512,pituitary tumour,222,258,279,325
1646.jpg,512,512,pituitary tumour,179,272,230,328
165.jpg,512,512,meningioma,194,213,279,289
1625.jpg,512,512,pituitary tumour,194,233,299,347
1659.jpg,512,512,pituitary tumour,211,311,247,336
1666.jpg,512,512,pituitary tumour,221,233,255,275
1670.jpg,512,512,pituitary tumour,208,238,256,274
1669.jpg,512,512,pituitary tumour,215,237,253,278
1712.jpg,512,512,pituitary tumour,180,233,236,325
1714.jpg,512,512,pituitary tumour,192,252,242,287
1673.jpg,512,512,pituitary tumour,178,278,215,323
1688.jpg,512,512,pituitary tumour,167,233,232,313
1705.jpg,512,512,pituitary tumour,188,276,235,335
1691.jpg,512,512,pituitary tumour,182,265,229,299
1674.jpg,512,512,pituitary tumour,176,282,214,322
1709.jpg,512,512,pituitary tumour,189,235,235,316
1721.jpg,512,512,pituitary tumour,204,297,234,320
1722.jpg,512,512,pituitary tumour,201,283,234,324
1777.jpg,512,512,pituitary tumour,184,269,251,360
1746.jpg,512,512,pituitary tumour,204,259,241,306
1773.jpg,512,512,pituitary tumour,176,286,256,358
174.jpg,512,512,meningioma,280,168,363,242
1743.jpg,512,512,pituitary tumour,207,265,241,304
1765.jpg,512,512,pituitary tumour,196,246,222,264
1745.jpg,512,512,pituitary tumour,202,259,243,304
1739.jpg,512,512,pituitary tumour,163,232,223,294
178.jpg,512,512,meningioma,183,299,256,371
1788.jpg,512,512,pituitary tumour,229,247,261,267
1796.jpg,512,512,pituitary tumour,192,238,237,303
1790.jpg,512,512,pituitary tumour,191,305,219,332
1870.jpg,512,512,glioma,239,156,321,240
1872.jpg,512,512,glioma,244,135,346,251
181.jpg,512,512,meningioma,201,291,277,372
1830.jpg,512,512,pituitary tumour,194,247,234,310
1853.jpg,512,512,glioma,128,188,201,282
1864.jpg,512,512,glioma,173,158,272,297
1858.jpg,512,512,glioma,258,142,387,294
1879.jpg,512,512,glioma,237,232,295,290
1884.jpg,512,512,glioma,269,141,328,208
1891.jpg,512,512,glioma,183,148,369,241
191.jpg,512,512,meningioma,177,341,256,427
1901.jpg,512,512,glioma,144,163,214,269
192.jpg,512,512,meningioma,150,259,227,336
1909.jpg,512,512,glioma,237,250,278,299
1892.jpg,512,512,glioma,208,169,355,245
1930.jpg,512,512,glioma,266,98,400,266
1914.jpg,512,512,glioma,326,182,385,252
1931.jpg,512,512,glioma,324,154,390,220
1933.jpg,512,512,glioma,317,125,399,232
1941.jpg,512,512,glioma,266,155,380,266
2038.jpg,512,512,glioma,276,159,333,233
1965.jpg,512,512,glioma,165,190,260,275
1978.jpg,512,512,glioma,225,283,340,385
2013.jpg,512,512,glioma,293,119,348,196
2021.jpg,512,512,glioma,215,180,290,235
1983.jpg,512,512,glioma,231,295,306,350
1944.jpg,512,512,glioma,291,120,385,235
2005.jpg,512,512,glioma,161,111,219,178
2051.jpg,512,512,glioma,188,182,318,328
2072.jpg,512,512,glioma,299,247,365,336
2074.jpg,512,512,glioma,178,106,304,264
2104.jpg,512,512,glioma,139,191,224,276
2073.jpg,512,512,glioma,185,105,312,226
2089.jpg,512,512,glioma,290,127,393,310
2115.jpg,512,512,glioma,156,183,243,271
2138.jpg,512,512,glioma,181,131,290,243
2124.jpg,512,512,glioma,119,276,246,390
2085.jpg,512,512,glioma,153,66,248,130
2078.jpg,512,512,glioma,291,176,391,276
2154.jpg,512,512,glioma,163,214,217,247
2172.jpg,512,512,glioma,299,292,364,375
2212.jpg,512,512,glioma,220,190,322,297
2207.jpg,512,512,glioma,284,205,322,264
219.jpg,512,512,meningioma,261,226,315,276
2177.jpg,512,512,glioma,203,273,289,348
220.jpg,512,512,meningioma,262,232,318,289
2175.jpg,512,512,glioma,207,280,290,351
2219.jpg,512,512,glioma,126,281,258,399
216.jpg,512,512,meningioma,299,197,392,262
2220.jpg,512,512,glioma,133,274,253,404
2305.jpg,512,512,glioma,147,98,247,190
2285.jpg,512,512,glioma,301,186,401,271
228.jpg,512,512,meningioma,218,210,289,253
2225.jpg,512,512,glioma,292,202,379,302
2294.jpg,512,512,glioma,308,204,348,251
230.jpg,512,512,meningioma,234,224,275,276
2267.jpg,512,512,glioma,147,173,220,294
2262.jpg,512,512,glioma,141,167,218,258
2307.jpg,512,512,glioma,213,217,268,264
231.jpg,512,512,meningioma,221,146,310,225
2323.jpg,512,512,glioma,193,74,240,123
2348.jpg,512,512,glioma,161,229,234,302
2333.jpg,512,512,glioma,271,111,317,164
2347.jpg,512,512,glioma,140,214,243,303
2363.jpg,512,512,glioma,262,371,303,397
235.jpg,512,512,meningioma,223,153,314,232
2352.jpg,512,512,glioma,262,106,353,175
236.jpg,512,512,meningioma,271,300,337,370
2319.jpg,512,512,glioma,245,215,355,325
2376.jpg,512,512,glioma,227,217,347,317
2378.jpg,512,512,glioma,234,171,339,325
2379.jpg,512,512,glioma,236,171,336,403
2386.jpg,512,512,glioma,155,72,265,181
2382.jpg,512,512,glioma,236,112,324,403
2395.jpg,512,512,glioma,150,224,244,331
