name,xmin,ymin,xmax,ymax,width,height,class
BTP_00001.jpg,177,192,223,229,320,320,glioma
TCGA-02-0006-63,93,148,129,186,240,240,glioma
TCGA-02-0006-62,93,148,132,184,240,240,glioma
TCGA-02-0006-61,88,144,135,182,240,240,glioma
TCGA-02-0006-60,88,144,137,183,240,240,glioma
TCGA-02-0006-59,88,142,138,183,240,240,glioma
TCGA-02-0006-58,88,142,139,182,240,240,glioma
TCGA-02-0006-57,88,137,139,182,240,240,glioma
TCGA-02-0009-87,102,63,159,103,240,240,glioma
TCGA-02-0009-85,99,63,159,103,240,240,glioma
TCGA-02-0009-86,100,63,159,103,240,240,glioma
TCGA-02-0009-88,103,63,159,104,240,240,glioma
TCGA-02-0009-84,99,64,159,102,240,240,glioma
TCGA-02-0009-89,104,63,159,104,240,240,glioma
TCGA-02-0009-83,99,66,158,102,240,240,glioma
TCGA-02-0009-90,104,63,161,104,240,240,glioma
TCGA-02-0009-91,104,63,161,104,240,240,glioma
TCGA-02-0009-92,104,63,162,105,240,240,glioma
TCGA-02-0009-82,98,66,158,102,240,240,glioma
TCGA-02-0009-81,98,68,158,101,240,240,glioma
TCGA-02-0009-93,105,63,162,103,240,240,glioma
TCGA-02-0009-80,99,69,156,98,240,240,glioma
TCGA-02-0009-79,99,72,154,98,240,240,glioma
TCGA-02-0009-94,122,62,162,102,240,240,glioma
TCGA-02-0009-78,98,76,153,97,240,240,glioma
TCGA-02-0009-95,123,62,162,102,240,240,glioma
TCGA-02-0009-96,124,62,163,100,240,240,glioma
TCGA-02-0011-80,99,103,167,157,240,240,glioma
TCGA-02-0011-79,100,103,167,157,240,240,glioma
TCGA-02-0011-81,98,103,167,157,240,240,glioma
TCGA-02-0011-78,99,103,167,157,240,240,glioma
TCGA-02-0011-82,97,103,167,157,240,240,glioma
TCGA-02-0011-77,99,103,167,158,240,240,glioma
TCGA-02-0011-83,97,103,167,157,240,240,glioma
TCGA-02-0011-76,98,103,167,158,240,240,glioma
