inception_resnet_v2_0.001,mAP,mAR,F1
13405,0.161,0.475,0.240487421
26810,0.384,0.516,0.44032
40215,0.431,0.55,0.483282365
53620,0.465,0.568,0.511364956
67025,0.453,0.613,0.520992495
80430,0.524,0.612,0.564591549
93835,0.497,0.599,0.54325365
107240,0.534,0.628,0.577197935
120645,0.501,0.588,0.541024793
134050,0.54,0.601,0.568869413
147455,0.449,0.57,0.502315996
160860,0.486,0.572,0.525504726
174265,0.53,0.607,0.5658927
187670,0.492,0.553,0.520719617
201075,0.517,0.582,0.547577798
